name,strategy,planner,rep,ok,checked,fallback,pre_fb,home_fb,t,jl,cl,n,n_chk,bad,bad_coarse,bad_pairs,frac,jl_pre,jl_app,jl_home,plan_calls,plan_fail,plan_t,method
fruit_r0_p2_t0_f3,harvest_linear,RRTConnect,1,True,True,False,False,False,1.4232380390167236,5.479735861281471,2.498122621437539,46,189,0,0,,1.0,2.271672973694749,0.4679961980864909,2.2720704914137406,2,0,0.1293196678161621,cartesian(frac=1.00)
fruit_r0_p2_t0_f3,harvest_linear,RRTConnect,2,True,True,False,False,False,1.0884196758270264,6.3471054183790505,2.6541658609080088,52,255,0,0,,1.0,2.766151554222556,0.407073919376588,2.7668060254033184,2,0,0.12029123306274414,cartesian(frac=1.00)
fruit_r0_p2_t0_f3,frontal,RRTConnect,0,True,False,False,False,False,0.36467456817626953,7.874769390992469,2.5501636121098805,98,262,8,2,stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f3×8,,3.455842485221937,0.481542210274297,3.4558424852219374,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f3,frontal,RRTConnect,1,True,False,False,False,False,0.22693729400634766,9.065353572878392,3.2002583555381,98,340,0,0,,,4.027295514554719,0.5053812718844763,4.027295514554719,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f3,frontal,RRTConnect,2,True,False,False,False,False,0.32342052459716797,7.87476897396958,2.550163708257112,98,262,8,2,stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f3×8,,3.455842504844492,0.48154198214029875,3.4558425048444907,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f3,naive,RRTConnect,0,True,False,False,False,False,0.2558305263519287,5.175492211161539,2.435592445983124,84,238,22,6,stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f3×16;rg2_leftfinger|rachis_r0_p2_t1×8,,2.5877461055807696,0.0,2.5877461055807696,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f3,naive,RRTConnect,1,True,False,False,False,False,0.22649526596069336,9.167238451126405,3.5796576934006117,84,316,14,4,rg2_hand|stem_r0_p2_s0×8;stem_r0_p2_s0|grasped_fruit_r0_p2_t0_f3×8;rg2_leftfinger|stem_r0_p2_s0×6;rg2_hand|stem_r0_p2_s1×4,,4.583619225563202,0.0,4.5836192255632024,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f3,naive,RRTConnect,2,True,False,False,False,False,0.21659302711486816,5.17552335241216,2.4355831842852993,84,238,22,6,stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f3×16;rg2_leftfinger|rachis_r0_p2_t1×8,,2.5877616762060804,0.0,2.58776167620608,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f2,harvest_linear,RRTConnect,0,True,True,False,False,False,1.0297093391418457,4.631282057560501,2.2946929922439017,44,165,0,0,,1.0,1.909413767775181,0.4062794399704225,1.9093094098444756,2,0,0.1365962028503418,cartesian(frac=1.00)
fruit_r0_p2_t0_f2,harvest_linear,RRTConnect,1,True,True,False,False,False,1.1935808658599854,5.510077683100466,2.152336464016625,48,196,0,0,,1.0,2.3718397295683484,0.3830971460928656,2.3720436613463867,2,0,0.1206364631652832,cartesian(frac=1.00)
fruit_r0_p2_t0_f2,harvest_linear,RRTConnect,2,True,True,False,False,False,1.1347315311431885,5.507793712119839,2.153438098705113,48,196,0,0,,1.0,2.370675686045843,0.38309662264231426,2.3709247807893674,2,0,0.12555670738220215,cartesian(frac=1.00)
fruit_r0_p2_t0_f2,frontal,RRTConnect,0,True,False,False,False,False,0.3177363872528076,9.071823503073777,3.0772046247258906,98,340,0,0,,,4.0303466120122495,0.5055651395246381,4.03034661201225,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f2,frontal,RRTConnect,1,True,False,False,False,False,0.26325058937072754,9.071823472360396,3.0772046119901124,98,340,0,0,,,4.030346606207289,0.5055651299729106,4.030346606207288,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f2,frontal,RRTConnect,2,True,False,False,False,False,0.277327299118042,9.071824621488767,3.077204338873324,98,340,0,0,,,4.030346628594634,0.5055656821497496,4.030346628594634,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p2_t0_f2,naive,RRTConnect,0,True,False,False,False,False,0.20168614387512207,9.08270325637632,3.474417625195019,84,316,16,4,stem_r0_p2_s0|grasped_fruit_r0_p2_t0_f2×10;stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f2×10;rg2_leftfinger|stem_r0_p2_s1×6;rg2_hand|stem_r0_p2_s1×6,,4.541351628188161,0.0,4.541351628188159,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f2,naive,RRTConnect,1,True,False,False,False,False,0.17051315307617188,5.048438710719758,2.3565444148034036,84,238,6,2,rg2_leftfinger|rachis_r0_p2_t1×6,,2.5242193553598793,0.0,2.524219355359879,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p2_t0_f2,naive,RRTConnect,2,True,False,False,False,False,0.23945283889770508,9.082705455620992,3.4744173392872084,84,316,16,4,stem_r0_p2_s0|grasped_fruit_r0_p2_t0_f2×10;stem_r0_p2_s1|grasped_fruit_r0_p2_t0_f2×10;rg2_leftfinger|stem_r0_p2_s1×6;rg2_hand|stem_r0_p2_s1×6,,4.541352727810495,0.0,4.541352727810497,0,0,0.0,naive/관절보간 40점 (회피 없음)
fruit_r0_p3_t0_f2,harvest_linear,RRTConnect,0,True,True,False,False,False,1.7011699676513672,5.5834714193691175,2.382173278381053,48,190,0,0,,1.0,2.403917234293731,0.38767198811376863,2.404210208847849,2,0,0.12248396873474121,cartesian(frac=1.00)
fruit_r0_p3_t0_f2,harvest_linear,RRTConnect,1,True,True,False,False,False,1.8086514472961426,5.47219998989372,2.6760406756626014,44,179,2,0,rg2_leftfinger|rachis_r0_p3_t1×2,1.0,2.2751164766097696,0.46160209191147744,2.2738793294609954,2,0,0.11414909362792969,cartesian(frac=1.00)
fruit_r0_p3_t0_f2,harvest_linear,RRTConnect,2,True,True,False,False,False,1.6796352863311768,4.783575679205649,2.555971348716721,42,157,0,0,,1.0,1.9948664409226455,0.3963009195929821,1.996107399097039,2,0,0.10870862007141113,cartesian(frac=1.00)
fruit_r0_p3_t0_f2,frontal,RRTConnect,0,True,False,False,False,False,0.33361005783081055,7.126761095485612,2.689073960029283,98,262,2,0,stem_r0_p3_s1|grasped_fruit_r0_p3_t0_f2×2,,3.052704687100572,0.5106758606422351,3.0527046871005705,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f2,frontal,RRTConnect,1,True,False,False,False,False,0.33907365798950195,7.126735415698228,2.6890777922429985,98,262,2,0,stem_r0_p3_s1|grasped_fruit_r0_p3_t0_f2×2,,3.052698207273224,0.5106695005758908,3.0526982072732225,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f2,frontal,RRTConnect,2,True,False,False,False,False,0.3892960548400879,7.126735261032884,2.6890777554205396,98,262,2,0,stem_r0_p3_s1|grasped_fruit_r0_p3_t0_f2×2,,3.0526981671128612,0.5106694634035805,3.0526981671128617,0,0,0.0,frontal/직선진입 fraction=1.00 (회피 없음)
fruit_r0_p3_t0_f2,naive,RRTConnect,0,True,False,False,False,False,0.3185410499572754,8.692156967119988,4.725290140486367,84,316,2,2,rg2_leftfinger|rachis_r0_p4_t0×2;rg2_leftfinger|stem_r0_p4_s0×2;rg2_leftfinger|stem_r0_p4_s1×2,,4.346078483559995,0.0,4.346078483559994,0,0,0.0,naive/관절보간 40점 (회피 없음)
