name,strategy,planner,rep,ok,checked,fallback,pre_fb,home_fb,t,jl,cl,n,bad,bad_pairs,frac,jl_pre,jl_app,jl_home,plan_calls,plan_fail,plan_t,method
fruit_r0_p2_t0_f0,harvest_linear,RRTConnect,0,True,True,False,False,False,2.8233649730682373,3.361465101927556,1.8357130936560098,34,0,,1.0,1.2986469043901263,0.3824365789423485,1.2979450396527332,2,0,0.13081622123718262,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRTConnect,1,True,True,False,False,False,2.7883551120758057,3.3595519189512935,1.8349227917683781,34,0,,1.0,1.2973275374831086,0.3824365789423485,1.2973512235834874,2,0,0.11611127853393555,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRTConnect,2,True,True,False,False,False,2.8064229488372803,3.360335854002173,1.8361791140512929,34,0,,1.0,1.2978637649651754,0.3824365789423485,1.297598931152301,2,0,0.09676480293273926,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRT,0,True,True,False,False,False,2.782841205596924,3.3593052619350576,1.8350935314396084,34,0,,1.0,1.2972987139518593,0.3824365789423485,1.2971333900985014,2,0,0.12782788276672363,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRT,1,True,True,False,False,False,2.8413450717926025,3.3594816817076154,1.8353745659039689,34,0,,1.0,1.2972410154988083,0.3824365789423485,1.29736750832411,2,0,0.14849138259887695,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRT,2,True,True,False,False,False,2.8163623809814453,3.359083018591976,1.8361068747631615,34,0,,1.0,1.2968712339457005,0.3824365789423485,1.2973386267615783,2,0,0.0904085636138916,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRTstar,0,True,True,False,False,False,12.736133337020874,3.3596551301286373,1.8355166171166613,34,0,,1.0,1.29758937157489,0.3824365789423485,1.29719260066905,2,0,10.039566040039062,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRTstar,1,True,True,False,False,False,12.702653169631958,3.359347154360461,1.8364732301971272,34,0,,1.0,1.2972072266515373,0.3824365789423485,1.2972667698242268,2,0,10.01540231704712,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,RRTstar,2,True,True,False,False,False,12.68120002746582,3.359422092264319,1.8359801597745278,34,0,,1.0,1.2973950215504364,0.3824365789423485,1.2971539128291856,2,0,10.017309188842773,cartesian(frac=1.00)
fruit_r0_p2_t0_f0,harvest_linear,BiTRRT,0,True,True,False,False,False,2.7910289764404297,3.359417548730434,1.8356745599951005,34,0,,1.0,1.2973476023825614,0.3824365789423485,1.2971967884631754,2,0,0.13025355339050293,cartesian(frac=1.00)
